source;relationship;target
'R. Thornton Wilson';'donates_to';'Metropolitan Museum of Art'
'Count Jan Szembek';'has_possession_of';'Cup and saucer'
'Art market, Mexico';'has_possession_of';'Cup and saucer'
'Saint Michael';'comes_from';'Spanish'
'Metropolitan Museum of Art';'has_possession_of';'Saint Michael'
'Brummer';'sells';'Saint Michael'
'Michelle Schutz';'sells';'Saint Michael'
'Carle (Charles André) Vanloo';'has_role';'Artist'
'Harris Brisbane Dick Fund';'purchases';"An'Académie': One Man Lifting the Legs of Another"
'Metropolitan Museum of Art';'has_possession_of';"An'Académie': One Man Lifting the Legs of Another"
'Princes of Liechtenstein';'has_possession_of';"An'Académie': One Man Lifting the Legs of Another"
'P. & D. Colnaghi & Co.';'sells';"An'Académie': One Man Lifting the Legs of Another"
"An 'Académie': One Man Lifting the Legs of Another";'comes_from';'Princes of Liechtenstein'
'Harris Brisbane Dick Fund';'is_the_owner_of';'Frontispiece: Six Figures Académiques'
'Princes of Liechtenstein';'has_possession_of';'Frontispiece: Six Figures Académiques'
'P. & D. Colnaghi & Co.';'sells';'Frontispiece: Six Figures Académiques'
'Metropolitan Museum of Art';'has_possession_of';'Frontispiece: Six Figures Académiques'
'Henri Daguerre';'sells';'Brummer'
'Brummer';'sells';'Alastair Bradley Martin'
'Grotesque';'comes_from';'French'
'Metropolitan Museum of Art';'has_possession_of';'The Sacrifice of Iphigenia'
'The Sacrifice of Iphigenia';'comes_from';'Lorenzo Somis'
'Lorenzo Somis';'has_immediate_family_member';'Carle (Charles André) Vanloo'
'Plaque from a Reliquary Shrine';'comes_from';'Paul Beumer, Dusseldorf'
'Plaque from a Reliquary Shrine';'comes_from';'Edouard Geladakis'
'Metropolitan Museum of Art';'has_possession_of';'Plaque from a Reliquary Shrine'
'Nimbus';'comes_from';'Shrine of St. Albinus, Paul Be...'
'Metropolitan Museum of Art';'has_possession_of';'Nimbus'
'Metropolitan Museum of Art';'has_possession_of';"Nouveau Theatre de la Grande Bretagne: Ou Description Exacte des Palais, Maisons de Plaisance, & de Tout ce Qu'il y a de Plus Remarquable dans la Grande Bretagne"
'Ogden Codman, Jr. (American)';'has_possession_of';"Nouveau Theatre de la Grande Bretagne: Ou Description Exacte des Palais, Maisons de Plaisance, & de Tout ce Qu'il y a de Plus Remarquable dans la Grande Bretagne"
"Nouveau Theatre de la Grande Bretagne: Ou Description Exacte des Palais, Maisons de Plaisance, & de Tout ce Qu'il y a de Plus Remarquable dans la Grande Bretagne";'comes_from';'Johannes Kip'
'Thelma Chrysler Foy';'donates_to';'Metropolitan Museum of Art'
'Metropolitan Museum of Art';'has_possession_of';'The Actor'
'Frank Burty Haviland';'has_possession_of';'The Actor'
'C. T. Loo & Co.';'sells';'Buddha with Two Disciples'
'C. T. Loo & Co.';'makes_sale_to';'Metropolitan Museum of Art'
'Buddha with Two Disciples';'comes_from';'China (Xinjiang Uyghur Autonomous Region)'
'Metropolitan Museum of Art';'has_possession_of';'Buddha with Two Disciples'
'C. T. Loo & Co.';'sells';'Three Bodhisattvas'
'Three Bodhisattvas';'comes_from';'China (Xinjiang Uyghur Autonomous Region)'
'Metropolitan Museum of Art';'has_possession_of';'Three Bodhisattvas'
'C. T. Loo & Co.';'sells';'Two Bodhisattvas'
'Two Bodhisattvas';'comes_from';'China (Xinjiang Uyghur Autonomous Region)'
'Metropolitan Museum of Art';'has_possession_of';'Two Bodhisattvas'
'C. T. Loo & Co.';'has_possession_of';'Warrior | China (Xinjiang Uyghur Autonomous Region)'
'C. T. Loo & Co.';'sells';'Warrior | China (Xinjiang Uyghur Autonomous Region)'
'Warrior | China (Xinjiang Uyghur Autonomous Region)';'comes_from';'China (Xinjiang Uyghur Autonomous Region)'
'Metropolitan Museum of Art';'has_possession_of';'Warrior | China (Xinjiang Uyghur Autonomous Region)'
'C. T. Loo';'donates_to';'Metropolitan Museum of Art'
'Head of a bodhisattva';'comes_from';'Middle caves, Northern Xiangtangshan, Hebei Province, China'
'Metropolitan Museum of Art';'has_possession_of';'Head of a bodhisattva'
'Joseph Brummer';'purchases';'Female worshiper | Elamite | Middle Elamite | ca. 1500–1100 B.C.'
'Metropolitan Museum of Art';'has_possession_of';'Female worshiper | Elamite | Middle Elamite | ca. 1500–1100 B.C.'
'Joseph Brummer';'purchases';'Two-headed cow figure'
'Joseph Brummer';'buys_from';'Mrs. Heli'
'Two-headed cow figure';'comes_from';'3rd–1st millennium B.C.'
'Brooch in the Form of a Peacock';'comes_from';'Roman'
'Metropolitan Museum of Art';'has_possession_of';'Brooch in the Form of a Peacock'
'Joseph Altounian';'has_possession_of';'Brooch in the Form of a Peacock'
'Mr. and Mrs. Edwin C. Vogel';'donates_to';'Metropolitan Museum of Art'
'Metropolitan Museum of Art';'has_possession_of';'Dr. Leclenché'
'Martignon';'sells';'Dr. Leclenché'
'Claude Monet';'has_role';'Artist'
'Double Capital with Vine Tendrils';'comes_from';'cloister of the Collegiale de Saint-Etienne in Troyes'
'Metropolitan Museum of Art';'has_possession_of';'Double Capital with Vine Tendrils'
'Metropolitan Museum of Art';'obtains_from';'Rogers Fund'
'C. T. Loo & Co.';'has_possession_of';'House | China | Han dynasty (206 B.C.–A.D. 220)'
'C. T. Loo & Co.';'sells';'House | China | Han dynasty (206 B.C.–A.D. 220)'
'House | China | Han dynasty (206 B.C.–A.D. 220)';'comes_from';'China'
'Metropolitan Museum of Art';'has_possession_of';'House | China | Han dynasty (206 B.C.–A.D. 220)'
'C. T. Loo & Co.';'sells';'Brick | China | Han dynasty (206 B.C.–A.D. 220)'
'Metropolitan Museum of Art';'has_possession_of';'Brick | China | Han dynasty (206 B.C.–A.D. 220)'
'Brick | China | Han dynasty (206 B.C.–A.D. 220)';'comes_from';'China'
'Mary Stillman Harkness';'donates_to';'Metropolitan Museum of Art'
'Metropolitan Museum of Art';'has_possession_of';'Man in Prayer'
'Ivo Francis Walter Bligh, 8th Earl of Darnley';'has_possession_of';'Man in Prayer'
'Workshop of Robert Campin';'has_role';'Artist'
'Terracotta kylix (drinking cup)';'comes_from';'Attributed to the Boreads Painter'
'Metropolitan Museum of Art';'obtains_from';'collection of Hecht'
'Robert E. Hecht, Jr.';'has_possession_of';'Terracotta column-krater (bowl for mixing wine and water)'
'Robert E. Hecht, Jr.';'sells';'Terracotta column-krater (bowl for mixing wine and water)'
'Metropolitan Museum of Art';'purchases';'Terracotta column-krater (bowl for mixing wine and water)'
'Terracotta column-krater (bowl for mixing wine and water)';'comes_from';'Group of Boston 00.348'
'Metropolitan Museum of Art';'has_possession_of';'Dagger Grip'
'Rogers Fund';'purchases';'Dagger Grip'
'Dagger Grip';'comes_from';'Flemish'
'Joseph Brummer';'has_possession_of';'Sgabello'
'Parke-Bernet Galleries';'obtains_from';'Joseph Brummer'
'Metropolitan Museum of Art';'obtains_from';'Parke-Bernet Galleries'
'Metropolitan Museum of Art';'has_possession_of';'Sgabello'
'Brummer Gallery, Paris and New York';'has_possession_of';'Relief | European  Museum of Art'
'Metropolitan Museum of Art';'has_possession_of';'Relief | European  Museum of Art'
'The Cloisters Collection';'has_possession_of';'Column Shaft and Base (from ensemble of Capital, Column Shaft, and Base)'
'Column Shaft and Base (from ensemble of Capital, Column Shaft, and Base)';'comes_from';'abbey church of Saint-Guilhem-le-Désert'
'The Cloisters Collection';'obtains_from';'Brummer'
'The Cloisters Collection';'has_possession_of';'Capital (from ensemble of Capital, Shaft, and Base)'
'Capital (from ensemble of Capital, Shaft, and Base)';'comes_from';'abbey church of Saint-Guilhem-le-Désert'
'The Cloisters Collection';'obtains_from';'abbey church of Saint-Guilhem-le-Désert'
'Metropolitan Museum of Art';'has_possession_of';'Wedge-shaped Capital'
'Brummer';'sells';'Wedge-shaped Capital'
'Alfredo Barsanti';'sells';'Wedge-shaped Capital'
'Wedge-shaped Capital';'comes_from';'late 11th century'
'Brummer';'sells';'Spiral Column Shaft'
'Metropolitan Museum of Art';'has_possession_of';'Spiral Column Shaft'
'Alfredo Barsanti';'sells';'Spiral Column Shaft'
'Spiral Column Shaft';'comes_from';'Italo-Byzantine'
'Metropolitan Museum of Art';'has_possession_of';'Corbel'
'Lucien J. Demotte';'has_possession_of';'Corbel'
'Brummer';'has_possession_of';'Corbel'
'Rogers Fund';'purchases';'Corbel'
'Corbel';'comes_from';'German or South Netherlandish'
'Metropolitan Museum of Art';'has_possession_of';'Foliate Capital'
'Foliate Capital';'comes_from';'the cloister of Ste.-Foy at Conques, near Toulouse'
'Brummer Gallery';'sells';'Column from a Choir Screen'
'Brummer Gallery';'sells';'Metropolitan Museum of Art'
'Ugo Jandolo';'sells';'Brummer Gallery'
'Metropolitan Museum of Art';'has_possession_of';'Column from a Choir Screen'
'Column from a Choir Screen';'comes_from';'Central Italian'
'Metropolitan Museum of Art';'has_possession_of';'Portrait of a Man with a Black-Plumed Hat'
'Roger de Gaignières';'has_possession_of';'Portrait of a Man with a Black-Plumed Hat'
'Louis Antoine Crozat';'has_possession_of';'Portrait of a Man with a Black-Plumed Hat'
'The Jules Bache Collection';'has_possession_of';'Portrait of a Man with a Black-Plumed Hat'
'Portrait of a Man with a Black-Plumed Hat';'comes_from';'Roger de Gaignières'
'Portrait of a Man with a Black-Plumed Hat';'comes_from';'Louis Antoine Crozat'
'Portrait of a Man with a Black-Plumed Hat';'comes_from';'The Jules Bache Collection'
'Traveling cup';'comes_from';'probably Italian, Rome'
'Traveling cup';'has_possession_of';'Metropolitan Museum of Art'
'Joseph Brummer';'has_possession_of';'Traveling cup'
'Joseph Brummer';'sells';'Traveling cup'
'Traveling cup';'comes_from';'Joseph Brummer, New York'
'Metropolitan Museum of Art';'has_possession_of';'Tympanum Section with the Nativity and Annunciation to the Shepherds'
'Arnold Seligmann, Rey & Co., Inc., New York';'comes_from';'Tympanum Section with the Nativity and Annunciation to the Shepherds'
'Gemellion (Hand Basin) with the Arms of the Languedoc';'comes_from';'French'
'Metropolitan Museum of Art';'has_possession_of';'Gemellion (Hand Basin) with the Arms of the Languedoc'
'Joseph Altounian';'sells';'Gemellion (Hand Basin) with the Arms of the Languedoc'
'Metropolitan Museum of Art';'purchases';'Gemellion (Hand Basin) with the Arms of the Languedoc'
'Rogers Fund';'donates_to';'Metropolitan Museum of Art'
'Brummer Gallery, Paris';'has_possession_of';'Capital with an Angel Emerging from a Cloud'
'The Cloisters Collection';'has_possession_of';'Capital with an Angel Emerging from a Cloud'
'P. Cloix';'sells';'Capital with an Angel Emerging from a Cloud'
'Brummer Gallery, Paris';'obtains_from';'P. Cloix'
'The Cloisters Collection';'obtains_from';'Brummer Gallery, Paris'
'Joseph Brummer';'has_possession_of';'Eared Dagger'
'Metropolitan Museum of Art';'has_possession_of';'Eared Dagger'
'Eared Dagger';'comes_from';'Iranian, Lorestan'
'Metropolitan Museum of Art';'obtains_from';'Joseph Brummer'
'Metropolitan Museum of Art';'has_possession_of';'Figure'
'Rogers Fund';'purchases';'Figure'
'Figure';'comes_from';'Hagop Kevorkian'
'Figure';'comes_from';'Joseph Brummer'
'Alastair B. Martin';'donates_to';'Metropolitan Museum of Art'
'Chess Piece, Bishop';'comes_from';'Raphael Stora, Paris'
'Chess Piece, Bishop';'comes_from';'Alphonse Kann, Paris'
'Nicolas Brimo';'sells';'Bracelet'
'Brummer';'sells';'Bracelet'
'Bracelet';'comes_from';'East Germanic'
'Brummer Gallery, Paris and New York';'sells';'Statuette of a Woman'
'Metropolitan Museum of Art';'purchases';'Statuette of a Woman'
'Statuette of a Woman';'comes_from';'Byzantine'
'Metropolitan Museum of Art';'has_possession_of';'Statuette of a Woman'
'Ernest Brummer';'sells';'Bow Brooch'
'Brummer Gallery';'sells';'Bow Brooch'
'Metropolitan Museum of Art';'has_possession_of';'Bow Brooch'
'Bow Brooch';'comes_from';'Frankish'
'Brummer Gallery';'donates_to';'Metropolitan Museum of Art'
'Metropolitan Museum of Art';'has_possession_of';'Head, male priest | Late Period–Ptolemaic Period'
'Head, male priest | Late Period–Ptolemaic Period';'comes_from';'4th century BC or later'
'Marble funerary relief';'comes_from';'Roman'
'Kalebjian Frères, Paris';'has_possession_of';'Marble funerary relief'
'Metropolitan Museum of Art';'has_possession_of';'Marble funerary relief'
'Metropolitan Museum of Art';'obtains_from';'Kalebjian Frères, Paris'
'Metropolitan Museum of Art';'has_possession_of';'Pendant | German  Museum of Art'
'Rogers Fund';'purchases';'Pendant | German  Museum of Art'
'Pendant | German  Museum of Art';'comes_from';'Delannoy, Paris'
'Pendant | German  Museum of Art';'comes_from';'Henri(?) Garnier, Paris'
'Joseph Brummer';'has_possession_of';'Piece | possibly French  Museum of Art'
'Metropolitan Museum of Art';'purchases';'Piece | possibly French  Museum of Art'
'Metropolitan Museum of Art';'buys_from';'Joseph Brummer'
'Folding armchair';'comes_from';'16th century'
'Metropolitan Museum of Art';'has_possession_of';'Folding armchair'
'Joseph Brummer';'has_possession_of';'Folding armchair'
'Joseph Brummer';'sells';'Folding armchair'
'Metropolitan Museum of Art';'purchases';'Folding armchair'
'Armorial tablet';'comes_from';'Italian, Milan'
'Joseph Brummer';'has_possession_of';'Armorial tablet'
'Piero Tozzi';'has_possession_of';'Armorial tablet'
'Metropolitan Museum of Art';'has_possession_of';'Armorial tablet'
'Metropolitan Museum of Art';'obtains_from';'Piero Tozzi'
'Brummer Gallery, Paris and New York';'sells';'Small Table'
'Metropolitan Museum of Art';'has_possession_of';'Small Table'
'Small Table';'comes_from';'Brummer Gallery, Paris and New York'
'Brummer Gallery, Paris and New York';'sells';'Chest | Austrian  Museum of Art'
'Metropolitan Museum of Art';'has_possession_of';'Chest | Austrian  Museum of Art'
'Chest | Austrian  Museum of Art';'comes_from';'Brummer Gallery, Paris and New York'
'Armorial Border';'comes_from';'14th–15th century'
'Metropolitan Museum of Art';'has_possession_of';'Armorial Border'
'Brummer Gallery';'has_possession_of';'Armorial Border'
'Bacri Frères';'has_possession_of';'Armorial Border'
'Rogers Fund';'purchases';'Armorial Border'
'Metropolitan Museum of Art';'has_possession_of';'Double Column Base'
'Double Column Base';'comes_from';'Cloister of the Abbey of Bonnefont-en-Comminges'
'The Cloisters Collection';'has_possession_of';'Double Column Base'
'The Cloisters Collection';'donates_to';'Metropolitan Museum of Art'
'Metropolitan Museum of Art';'has_possession_of';'Double Capital'
'Double Capital';'comes_from';'Cloister of the Abbey of Bonnefont-en-Comminges'
'The Cloisters Collection';'has_possession_of';'Double Capital'
'Metropolitan Museum of Art';'has_possession_of';'Bird-Shaped Pendant with Marvered Body'
'Metropolitan Museum of Art';'obtains_from';'Hagop Kevorkian'
'Metropolitan Museum of Art';'has_possession_of';'Capital | French  Museum of Art'
'Jean Peslier';'sells';'Capital | French  Museum of Art'
'Brummer';'sells';'Capital | French  Museum of Art'
'The Cloisters Collection';'has_possession_of';'Capital | French  Museum of Art'
'Double Capital with Birds';'comes_from';'cloister of the collegiate church at'
'Metropolitan Museum of Art';'has_possession_of';'Double Capital with Birds'
'Rogers Fund';'purchases';'Double Capital with Birds'
'C. Joret, Paris';'sells';'Appliqué Plaque with a Tree and Four Birds'
'Brummer';'obtains_from';'C. Joret, Paris'
'Dr. Sidney A. Charlat';'donates_to';'Metropolitan Museum of Art'
'Metropolitan Museum of Art';'has_possession_of';'Appliqué Plaque with a Tree and Four Birds'
'Metropolitan Museum of Art';'has_possession_of';'Font | North Italian  Museum of Art'
'Brummer';'sells';'Font | North Italian  Museum of Art'
'Galerie Simonetti, Rome';'sells';'Font | North Italian  Museum of Art'
'Font | North Italian  Museum of Art';'comes_from';'North Italian'
'Metropolitan Museum of Art';'has_possession_of';'Ornament'
'Joseph Brummer';'has_possession_of';'Ornament'
'Ornament';'comes_from';'12th century'
'Brimo de Laroussilhe';'sells';'Incense Burner'
'Brummer';'sells';'Incense Burner'
'Metropolitan Museum of Art';'has_possession_of';'Incense Burner'
'Metropolitan Museum of Art';'obtains_from';'Brummer'
'Incense Burner';'comes_from';'medieval Islamic world'
'H.O. Havemeyer Collection';'donates_to';'Metropolitan Museum of Art'
'Kouchakji Frères';'has_possession_of';"Ewer Inscribed with'al-'izz' ('Glory') in Floral Script"
'Kouchakji Frères';'sells';"Ewer Inscribed with'al-'izz' ('Glory') in Floral Script"
"Ewer Inscribed with'al-'izz' ('Glory') in Floral Script";'comes_from';'first half 13th century'
'Joseph Brummer';'purchases';'Edward'
'Pin';'comes_from';'Iran'
'Metropolitan Museum of Art';'has_possession_of';'Pin'
'Ernst Herzfeld';'sells';'Stone Top'
'Stone Top';'comes_from';'Ernst Herzfeld'
'Metropolitan Museum of Art';'has_possession_of';'Stone Top'
'Double Capital';'comes_from';'Monastery of Trie or Larreule'
'Joseph Brummer';'has_possession_of';'Double Capital'
'Mrs. Joseph Brummer';'donates_to';'Metropolitan Museum of Art'
'Lavabo';'comes_from';'Former private chapel of Ste. Catherine, Montbron, France'
'Metropolitan Museum of Art';'has_possession_of';'Lavabo'
'Alexander Drake';'has_possession_of';'Ring'
'Metropolitan Museum of Art';'has_possession_of';'Ring'
'Brummer Gallery, Paris';'sells';'Table | French  Museum of Art'
'Brummer Gallery, New York';'sells';'Table | French  Museum of Art'
'Hequet';'sells';'Table | French  Museum of Art'
'Metropolitan Museum of Art';'has_possession_of';'Table | French  Museum of Art'
'Metropolitan Museum of Art';'has_possession_of';'Door Mount'
'Door Mount';'comes_from';'Church of Saint-Léonard-de-Noblat'
'The Cloisters Collection';'donates_to';'Metropolitan Museum of Art'
'Blumka Gallery, New York';'sells';'Chandelier'
'Brummer';'has_possession_of';'Chandelier'
'Metropolitan Museum of Art';'has_possession_of';'Chandelier'
'Chandelier';'comes_from';'South Netherlandish'
'Joseph Altounian';'sells';'Bishop | French  Museum of Art'
'Brummer';'sells';'Bishop | French  Museum of Art'
'Metropolitan Museum of Art';'has_possession_of';'Bishop | French  Museum of Art'
'Rhyton in the form of a Saiga antelope head';'comes_from';'Sasanian'
'Metropolitan Museum of Art';'has_possession_of';'Rhyton in the form of a Saiga antelope head'
'Metropolitan Museum of Art';'obtains_from';'Mrs. H. Kurmanowicz'
'Mrs. H. Kurmanowicz';'has_possession_of';'Rhyton in the form of a Saiga antelope head'
"Vessel in the form of a horse's head";'comes_from';'Mazanderan, Iran'
'Metropolitan Museum of Art';'has_possession_of';"Vessel in the form of a horse's head"
'Metropolitan Museum of Art';'obtains_from';'A. Pope'
"Bull's head from column capital";'comes_from';'Achaemenid'
"Bull's head from column capital";'comes_from';'Istakhr'
'Ernst Herzfeld';'has_possession_of';"Bull's head from column capital"
'Metropolitan Museum of Art';'has_possession_of';"Bull's head from column capital"
'Metropolitan Museum of Art';'obtains_from';'Ernst Herzfeld'
'Joseph Brummer';'purchases';'Antelope pendant'
'Joseph Brummer';'buys_from';'Mrs. Tuckerman'
'Metropolitan Museum of Art';'has_possession_of';'Antelope pendant'
'Joseph Brummer';'purchases';'Head of a ruler'
'Joseph Brummer';'buys_from';'Messayeh Frères'
'Metropolitan Museum of Art';'has_possession_of';'Head of a ruler'
'Head of a ruler';'comes_from';'Early Bronze Age'
'Metropolitan Museum of Art';'purchases';'Head of a ruler'
'Metropolitan Museum of Art';'has_possession_of';'Window | French  Museum of Art'
'Joseph Altounian';'comes_from';'Window | French  Museum of Art'
'Metropolitan Museum of Art';'has_possession_of';'Straw | German  Museum of Art'
'Straw | German  Museum of Art';'comes_from';'Benedictine monastery of Saint Trudpert'
'Plaque, Openwork';'comes_from';'Byzantine'
'Metropolitan Museum of Art';'has_possession_of';'Plaque, Openwork'
'Baron Wladimir de Grüneisen';'sells';'Plaque, Openwork'
'Metropolitan Museum of Art';'obtains_from';'Baron Wladimir de Grüneisen'
'Metropolitan Museum of Art';'has_possession_of';'Censer Top'
'Baron Wladimir de Grüneisen';'sells';'Censer Top'
'Censer Top';'comes_from';'Byzantine'
'Metropolitan Museum of Art';'has_possession_of';'Dish | Late Roman'
'Dish | Late Roman';'comes_from';'Verdun, northern France'
'William Randolph Hearst';'has_possession_of';'Dish | Late Roman'
'Metropolitan Museum of Art';'obtains_from';'William Randolph Hearst'
'Brooch';'comes_from';'Late Roman'
'Metropolitan Museum of Art';'has_possession_of';'Brooch'
'Metropolitan Museum of Art';'obtains_from';'C. A. Lembessis, Paris'
'C. A. Lembessis, Paris';'sells';'Brooch'
'Brummer';'obtains_from';'C. A. Lembessis, Paris'
'Silver Dish';'comes_from';'Leyris, southern France'
'Metropolitan Museum of Art';'has_possession_of';'Silver Dish'
'Private Collection';'has_possession_of';'Silver Dish'
'Metropolitan Museum of Art';'obtains_from';'Private Collection'
'Marble seated harp player';'comes_from';'Cyclades'
'Metropolitan Museum of Art';'has_possession_of';'Marble seated harp player'
'Silver Patera (Saucepan-Shaped Vessel)';'comes_from';'Leyris, southern France'
'Metropolitan Museum of Art';'has_possession_of';'Silver Patera (Saucepan-Shaped Vessel)'
'Metropolitan Museum of Art';'has_possession_of';'Brooch | Roman'
'Emmanuel Manolis Segredakis';'sells';'Brooch | Roman'
'Brooch | Roman';'comes_from';'Roman'
'Joseph Brummer';'purchases';'Torque'
'Joseph Brummer';'buys_from';'Nicolau Koutoulakis'
'Metropolitan Museum of Art';'has_possession_of';'Torque'
'Torque';'comes_from';'Scythian'
'Metropolitan Museum of Art';'has_possession_of';'Eucharistic Dove'
'Edouard Larcade';'has_possession_of';'Eucharistic Dove'
'Edouard Larcade';'sells';'Eucharistic Dove'
'Edouard Larcade';'makes_sale_to';'Brummer'
'Brummer';'sells';'Eucharistic Dove'
'Brummer';'makes_sale_to';'Metropolitan Museum of Art'
'Candelabra';'comes_from';'Spanish'
'Metropolitan Museum of Art';'has_possession_of';'Candelabra'
'David Belasco';'sells';'Candelabra'
'Anderson Galleries';'makes_sale_to';'Brummer'
'Brummer';'sells';'Candelabra'
'Metropolitan Museum of Art';'has_possession_of';'Adoration of the Magi'
'Gustav Grunewald';'has_possession_of';'Adoration of the Magi'
'Charles Stehlin';'sells';'Adoration of the Magi'
'Metropolitan Museum of Art';'obtains_from';'Charles Stehlin'
'Metropolitan Museum of Art';'has_possession_of';'The parable of the rich man (Dives) and Lazarus'
'The parable of the rich man (Dives) and Lazarus';'comes_from';'Gustav Grunewald'
'Gustav Grunewald';'sells';'The parable of the rich man (Dives) and Lazarus'
'Charles Stehlin';'sells';'The parable of the rich man (Dives) and Lazarus'
'Henri(?) Garnier, Paris';'sells';'Candle Bracket'
'Brummer';'obtains_from';'Henri(?) Garnier, Paris'
'The Cloisters Collection';'has_possession_of';'Candle Bracket'
'Candle Bracket';'comes_from';'French or South Netherlandish'
'Stool';'comes_from';'French or South Netherlandish'
'The Cloisters Collection';'has_possession_of';'Stool'
'Charles (?) Lemaire';'sells';'Stool'
'Metropolitan Museum of Art';'has_possession_of';'Stool'
'Brummer';'sells';'Alms Box'
'Metropolitan Museum of Art';'has_possession_of';'Alms Box'
'Leopoldo di Segni';'sells';'Alms Box'
'Candlestick';'comes_from';'15th century'
'Candlestick';'comes_from';'French or Italian'
'Metropolitan Museum of Art';'has_possession_of';'Candlestick'
'Metropolitan Museum of Art';'obtains_from';'Tobias, Fischer & Co., New York'
'Tobias, Fischer & Co., New York';'sells';'Candlestick'
'Fletcher Fund';'purchases';'Candelabra'
'Candelabra';'comes_from';'Leeds Castle, Kent'
'Candelabra';'comes_from';'William Randolph Hearst'
'Pair of andirons with cross bar';'comes_from';'Private Collection, France'
'Private Collection, France';'sells';'Brummer'
'Brummer';'sells';'Metropolitan Museum of Art'
'Metropolitan Museum of Art';'has_possession_of';'Pair of andirons with cross bar'
'Metropolitan Museum of Art';'has_possession_of';'Candelabra'
'Parke-Bernet Galleries, New York';'sells';'Candelabra'
'Candelabra';'comes_from';'French or Spanish'
'Metropolitan Museum of Art';'purchases';'Silver bowl'
'Ernst Herzfeld';'sells';'Lamp'
'Metropolitan Museum of Art';'has_possession_of';'Lamp'
'Lamp';'comes_from';'Ernst Herzfeld'
'Frank Tano';'sells';'Mold for Making Jewelry'
'Brummer';'buys_from';'Frank Tano'
'Brummer';'sells';'Mold for Making Jewelry'
'Metropolitan Museum of Art';'buys_from';'Brummer'
'Metropolitan Museum of Art';'has_possession_of';'Mold for Making Jewelry'
'Mold for Making Jewelry';'comes_from';'10th–11th century'
'Harris Brisbane Dick Fund';'has_possession_of';"Neerlands Veldpracht op't Loo Hollands Lustpar"
'Metropolitan Museum of Art';'has_possession_of';"Neerlands Veldpracht op't Loo Hollands Lustpar"
'C. Allard';'has_role';'Designer'
'Frank Tano';'sells';'Bowl'
'Frank Tano';'makes_sale_to';'Brummer'
'Brummer';'sells';'Bowl'
'Bowl';'comes_from';'late 11th–12th century'
'Frank Tano';'sells';'Panel'
'Brummer';'sells';'Panel'
'Metropolitan Museum of Art';'has_possession_of';'Panel'
'Panel';'comes_from';'13th century'
'Model Male figure from funerary barque';'comes_from';'Middle Kingdom, Egypt'
'Metropolitan Museum of Art';'has_possession_of';'Model Male figure from funerary barque'
'Metropolitan Museum of Art';'obtains_from';'Egyptian Expedition of the Metropolitan Museum of Art'
'Metropolitan Museum of Art';'purchases';'Arched Harp (shoulder harp) | New Kingdom | Thebes'
'Arched Harp (shoulder harp) | New Kingdom | Thebes';'comes_from';'ca. 1390–1295 B.C.'
'Metropolitan Museum of Art';'obtains_from';'Joseph Brummer Gallery, New York'
'Joseph Brummer Gallery, New York';'is_the_owner_of';'Joseph Brummer'
'Theodoros A. Zoumboulakis';'has_possession_of';'Lion felling a bull, from a marble pediment'
'Metropolitan Museum of Art';'has_possession_of';'Lion felling a bull, from a marble pediment'
'Metropolitan Museum of Art';'obtains_from';'Theodoros A. Zoumboulakis'
'C. T. Loo & Co.';'sells';'Statuette of Phoenix (Fenghuang)'
'Metropolitan Museum of Art';'has_possession_of';'Statuette of Phoenix (Fenghuang)'
'Statuette of Phoenix (Fenghuang)';'comes_from';'China'
'Metropolitan Museum of Art';'has_possession_of';'Conspectus Novi Praetorii Loo ex accurata delineatione'
'Harris Brisbane Dick Fund';'purchases';'Conspectus Novi Praetorii Loo ex accurata delineatione'
'Conspectus Novi Praetorii Loo ex accurata delineatione';'comes_from';'Jacob Pietersz Romans'
'George Blumenthal';'donates_to';'Metropolitan Museum of Art'
'Metropolitan Museum of Art';'has_possession_of';'The Adoration of the Magi'
'Justus of Ghent';'has_role';'Artist'
'The Adoration of the Magi';'comes_from';'Netherlandish'
'The Adoration of the Magi';'comes_from';'Duques de Frías, Convento de Santa Clara, Medina de Pomar'
'Metropolitan Museum of Art';'has_possession_of';'Lekythos'
'Theodore Zoumboulakis';'has_possession_of';'Lekythos'
'Lekythos';'comes_from';'Haimon Painter'
'Metropolitan Museum of Art';'obtains_from';'Theodore Zoumboulakis'
'Darrel Austin';'sells';'The Tightrope'
'George A. Hearn Fund';'purchases';'The Tightrope'
'Metropolitan Museum of Art';'has_possession_of';'The Tightrope'
'The Tightrope';'comes_from';'Darrel Austin'
'Brummer Gallery';'sells';'Group Symbolic of War'
'Metropolitan Museum of Art';'has_possession_of';'Group Symbolic of War'
'Samuel D. Lee Fund';'purchases';'Group Symbolic of War'
'Antoine-Louis Barye';'has_role';'Artist'
'Ernest Brummer';'purchases';'Man and dog | Babylonian | Neo-Babylonian  Museum of Art'
'Ernest Brummer';'buys_from';'Elias S.'
'Metropolitan Museum of Art';'has_possession_of';'Man and dog | Babylonian | Neo-Babylonian  Museum of Art'
'Brummer gallery';'purchases';'Bowl with procession of bulls'
'Brummer gallery';'buys_from';'H. Darsé'
'Metropolitan Museum of Art';'has_possession_of';'Bowl with procession of bulls'
'Wood statuette of Hekate';'comes_from';'Alexandria, Egypt'
'Metropolitan Museum of Art';'has_possession_of';'Wood statuette of Hekate'
'Metropolitan Museum of Art';'purchases';'Wood statuette of Hekate'
